Image, mV, nW, bps, GSR, valence, arousal
People_127_h,509.56065137919575,0.0,0.0,973.1463941508807,2.15,7.62
Objects_046_h,509.1554145899411,0.0,0.0,963.5785228817399,5.14,5.71
People_198_h,509.4668637846656,0.0,0.0,971.7681484502447,1.58,7.56
Faces_008_h,509.27113062568606,0.0,0.0,981.2477131357483,5.21,6.0
Objects_132_h,509.2453666755343,0.0,0.0,1006.0811386006917,2.88,6.76
People_028_h,509.4230088495575,0.0,0.0,992.1679552864462,5.48,6.54
Landscapes_061_h,509.1010348583878,0.0,0.0,995.7386528685548,4.98,4.59
Landscapes_120_v,509.9514704543385,0.0,0.0,971.9315305472094,8.31,2.4
People_201_v,508.8743398288108,0.0,0.0,939.8257148060462,1.87,7.51
Landscapes_123_h,509.22528422010004,0.0,0.0,935.8297407912687,8.15,2.11
Objects_014_h,509.6640369967356,0.0,0.0,950.8518317011244,5.12,5.73
Objects_001_h,509.08109094226035,0.0,0.0,965.3929581318982,2.72,7.15
Objects_186_v,509.32746734397676,0.0,0.0,976.2818396226415,4.55,4.83
Faces_149_v,509.37550474912206,0.0,0.0,1011.3431378904061,2.3,7.61
Landscapes_067_h,509.07681805770454,0.0,0.0,669.6656958223355,4.98,4.76
Landscapes_049_h,509.49209234684605,0.0,0.0,660.4578258498454,7.24,2.88
Objects_160_h,509.3113233287858,0.0,0.0,632.3778990450205,5.41,5.73
People_038_h,509.32254545454543,0.0,0.0,626.7187272727273,1.73,8.5
Landscapes_050_h,509.4206558270506,0.0,0.0,578.1682259969116,6.87,2.98
Landscapes_054_h,509.44866781849595,0.0,0.0,522.1618623260889,7.6,2.94
Landscapes_097_v,509.2454115936762,0.0,0.0,486.3471742685808,7.6,2.71
People_130_h,509.41430131004364,0.0,0.0,449.4140283842795,7.17,5.74
Faces_234_h,509.47089850854854,0.0,0.0,426.9004183339396,7.37,5.76
Faces_159_h,509.49373183139534,0.0,0.0,396.6805959302326,1.93,7.37
Landscapes_104_h,509.9262391996362,0.0,0.0,400.75370623010457,7.2,2.8
Landscapes_103_v,508.7936580047247,0.0,0.0,409.62420497910233,7.83,2.43
Animals_020_h,509.3141351744186,0.0,0.0,410.40752180232556,5.34,6.43
Animals_035_h,509.5562329390355,0.0,0.0,392.85541401273883,5.08,6.13
Animals_056_h,509.40668422486607,0.0,0.0,373.3675415493597,1.86,7.5
Animals_090_h,509.36020380311163,0.0,0.0,354.47393321808755,7.44,2.94
Faces_134_h,509.62447793717087,0.0,0.0,352.10187034683133,7.43,5.68
People_208_h,509.33441431776066,0.0,0.0,411.82805032673366,1.85,7.67
Objects_186_v,509.66284361915166,0.0,0.0,442.89796104132535,4.55,4.83
Faces_008_h,509.20169137037374,0.0,0.0,420.7342911703192,5.21,6.0
Faces_149_v,509.5994904922209,0.0,0.0,390.1976162314621,2.3,7.61
Objects_132_h,509.18140465793306,0.0,0.0,427.29466885007275,2.88,6.76
Faces_202_v,509.58737511353314,0.0,0.0,591.4405994550409,4.56,4.85
Objects_014_h,509.529641753046,0.0,0.0,508.8501545735588,5.12,5.73
Landscapes_061_h,509.29802888545737,0.0,0.0,448.7536560995549,4.98,4.59
People_211_v,509.14532557293563,0.0,0.0,485.11886140414697,1.88,7.63
People_110_h,509.8154686078253,0.0,0.0,458.46505914467696,8.11,2.68
People_201_v,509.2496593077133,0.0,0.0,417.0673207958572,1.87,7.51
People_028_h,509.2609762748841,0.0,0.0,393.83665121352607,5.48,6.54
Objects_046_h,509.36754545454545,0.0,0.0,360.8571818181818,5.14,5.71
Objects_001_h,509.4743776122115,0.0,0.0,332.7859349445757,2.72,7.15
People_127_h,509.41846097937673,0.0,0.0,308.8743526846552,2.15,7.62
Landscapes_123_h,509.3046092184369,0.0,0.0,345.8664601931135,8.15,2.11
Objects_146_h,509.40998638220606,0.0,0.0,408.48306854289604,4.48,4.88
People_198_h,509.74861199599525,0.0,0.0,440.9726039865295,1.58,7.56
Landscapes_120_v,509.3489190220752,0.0,0.0,745.5771744565523,8.31,2.4
Objects_160_h,509.3734413397652,0.0,0.0,179.2653135523801,5.41,5.73
People_208_h,509.5,0.0,0.0,187.1302887234429,1.85,7.67
Landscapes_097_v,509.12085308056874,0.0,0.0,163.95023696682463,7.6,2.71
Landscapes_050_h,510.1690922321266,0.0,0.0,149.06849190467528,6.87,2.98
Faces_134_h,508.82508161044615,0.0,0.0,138.11289445048968,7.43,5.68
Landscapes_067_h,509.2706855791962,0.0,0.0,125.96708492453173,4.98,4.76
Animals_035_h,509.37232978820106,0.0,0.0,113.61758021998,5.08,6.13
People_130_h,509.2941818181818,0.0,0.0,103.99881818181818,7.17,5.74
Landscapes_054_h,509.84128715571313,0.0,0.0,96.12362512498864,7.6,2.94
Faces_159_h,509.293609671848,0.0,0.0,89.87082992455231,1.93,7.37
Landscapes_103_v,509.20929597962527,0.0,0.0,84.04029470620338,7.83,2.43
Animals_020_h,509.51608213701616,0.0,0.0,78.71915318916955,5.34,6.43
Landscapes_104_h,509.182933478735,0.0,0.0,74.22210105416212,7.2,2.8
Landscapes_049_h,509.7071818181818,0.0,0.0,70.40227272727273,7.24,2.88
